,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate ®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.VOLATILITY260D/100,TR.RETURNONAVGTOTEQTYPCTNETINCOMEBEFOREEXTRAITEMS/100,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio,PERATIO
20,ATRD.NS,17.6400109022668,10.0281806122896,1.51854294298736,27.8155919855964,2.88658942991497,9.11321544181017,15.6527792656108,0.392769504637244,0.143597961744,0.049694704771,0.6267711,0.051299681662844,0.996435988172,0.419534066402,3.3211207745,24.97
21,LAUL.NS,28.4671479814212,23.4445909305744,2.93243609138106,18.5675804151482,4.18280422302426,17.3194806803589,-306.104283887678,0.301049895394241,0.278216899713,0.130898289373,0.5030381,0.167664525070053,0.189774378654,0.123832926703,15.5038278775,17.4
22,FOHE.BO,31.0401059793584,22.3047577182587,3.53324055408494,37.3877612073392,2.82417539142747,22.3196595663758,29.5729694689477,0.331900185068997,0.090277458791,0.068573322864,0.7246796,0.097089226958172,0.167157127106,0.124980522039,6.0355382596,37.73
23,HEAC.NS,57.9714789141652,19.0254477332168,2.70353861332773,97.4726560323856,4.14305369851322,16.5865650596482,23.8284318523236,0.275863127007272,0.068560470008,0.01829553314,0.5306271,0.038524410336269,0.952304239866,0.460844421955,0.9548760759,138.82
24,ABOT.BO,34.1510563581567,32.0836269471645,8.57605973457985,48.7540834059921,17.2725859039815,49.4758311245278,147.017425340625,0.227536062042287,0.294617250251,0.19807627685,0.4547789,0.162361488594852,0.038563155412,0.03659455894,1467.0428571429,49.57
25,GRAN.BO,14.6413098113078,11.4749859301472,1.73548590813853,13.4532799860077,2.77799758935882,21.189869111449,-70.2980697123978,0.34487658480283,0.17343471391,0.100350264783,0.485982,0.109632552714918,0.093554503018,0.065517330448,50.4191084255,13.32
26,NARY.NS,32.5576688641417,23.5705206905609,3.78003124691386,26.8520044050953,8.7894213288063,32.4125778612399,67.0955481906029,0.250587290658155,0.262125059651,0.115978169174,0.4625319,0.092380901176527,0.380935043264,0.256270810813,7.3389455705,31.09
27,GLAX.BO,36.3859253805374,33.157504582212,6.44782049311414,34.7325138717592,15.4255204825033,27.6806971960331,83.2439589689867,0.178303179428706,0.183892329009,0.098289255555,0.5478559,0.516993350760878,0.002862796296,0.002841374664,402.4014968336,50.51
28,SYNN.NS,54.5847095621872,31.9744308456026,7.98402789009337,53.0463506430699,7.25375346223047,40.9098809160352,227.899516023579,0.269924120364081,0.129367543716,0.075772949172,0.6875048,0.151985254588741,0.224921154779,0.171721615114,18.0954356846,52.34
30,INRM.BO,14.8183902428199,11.3288833303088,1.94715229412455,18.0369703873447,3.08905907591634,17.242206243129,86.4241463980095,0.352447905178061,0.184986448922,0.110525534908,0.6609586,0.100469997309758,0.118110174422,0.092005958112,15.2305640452,19.04
32,MEDP.NS,79.7290668699903,44.8144727871252,1.89557292892402,211.568708541879,5.36175808772761,45.4943356719387,140.076804515523,0.335943951234892,0.089187622916,0.045539756896,0.2108614,0.02534927958481,0.420724206713,0.267222563691,2.3274823869,216.68
33,PFIZ.BO,25.52981749523,22.0597244563314,5.99122521645614,27.081054199557,5.43903553468173,23.7773953654434,32.2083423049555,0.160359113574678,0.233025516172,0.170953099251,0.6136791,0.234608328641626,0.044595571165,0.042138945702,72.2782178218,25.86
34,KRII.NS,25.0300841297975,21.5219062032841,5.86388511283616,35.4570004963904,7.16084053613754,34.6130521074455,72.433436704536,0.273130809417468,0.295582980867,0.2056497067,0.5736877,0.201526509472536,0.163137412069,0.135752365688,28.0851077194,34.27
35,VIJA.NS,29.2037931306635,21.6420650428428,8.7413270019246,50.7958844039889,7.98255206496268,25.2789743064341,112.577563854222,0.482157483287451,0.2651769644,0.176404652708,0.8452903,0.237326841934437,0.363632383372,0.260732613073,10.2467671022,50.31
37,PIIL.NS,43.2403178494172,35.6227742946268,6.91058358230828,37.1047699747937,6.94461891712937,86.9308590390014,396.966483841518,0.284391867800368,0.147224063929,0.114080984249,0.4412869,0.159222568166808,0.032350826743,0.030761104293,73.7265625,38.63
38,JUBA.BO,10.1739397140461,6.95425942037715,1.13424146351715,29.686170212766,0.811165805055944,5.29610283002783,28.2017693446633,0.383760971012718,0.082293038533,0.043684647773,0.7084926,0.067524457746971,0.503225213277,0.314563768849,5.9638674489,46.52
40,RALL.BO,20.2815381490861,15.1545258532913,1.30806705136435,22.9277609043622,2.11501234540005,22.6233259321488,-48.2489116297305,0.316993985556587,0.099896053273,0.060293594147,0.3036235,0.063059132419539,0.014996578265,0.014219325552,45.8983001295,25.55
41,ADRG.BO,15.9074759243595,13.5137252142916,1.38630479381993,19.1687416725493,2.81784343008784,44.9133058378186,-34.0569425239786,0.34919653993338,0.210319113531,0.103169222128,0.2094419,0.082389627322619,0.135452980626,0.088896659759,14.5157926103,18.86
43,VNTI.BO,50.7971451448647,45.5579130408361,8.94357850739771,40.9935660718763,9.39634521916184,146.617344258907,-191.598746202254,0.286338938801715,0.205621256538,0.181308129682,0.359622,0.214556526297115,0.0,0.0,1570.3544646308,41.35
44,GLEM.NS,8.82575361265095,8.28405672032435,2.16994834257972,11.2112197801414,2.24674755672024,8.0559126950643,13.712835239761,0.243390984868852,0.298336443944,0.187428968403,0.5088168,0.197212339406202,0.000586084295,0.000585262658,20.7689135891,11.17
45,HIKA.BO,22.7708909517451,16.3740916985753,2.11268351997459,49.4561403508772,3.2165959243367,11.8228650636803,-518.241858146442,0.48583900262904,0.160388091635,0.077792690156,0.3778263,0.082615568576239,0.268641483322,0.16460374596,9.3496869273,55.21
46,NAFL.BO,65.3288094239989,56.7328650808834,11.9919819924661,60.1663974062983,10.878475374837,283.170998665061,-37.8646699654284,0.292482683731766,0.151271080744,0.122849081645,0.4617163,0.181008146639511,0.059667501708,0.055988887702,232.8985507246,66.29
48,CAPL.BO,13.7938450078143,12.1559612393539,2.68928569261447,12.5224026560001,2.6792572599034,13.4325884123831,20.4474750780807,0.303822068584176,0.224620148182,0.199004596364,0.5416375,0.236204220858509,0.000788446894,0.000773804406,497.2571428571,12.72
49,NEUL.BO,16.0986722996698,10.6556496990691,2.39885246407228,22.7513413486363,2.62231700660101,39.5108990682085,-56.1090588206608,0.533155721186437,0.078455596747,0.047131090037,0.4456143,0.0671050050017,0.132287203058,0.102853030916,10.9653016353,22.67
