,Instrument,Enterprise Value to EBIT,Enterprise Value to EBITDA,Enterprise Value To Sales (Daily Time Series Ratio),Price / EPS (SmartEstimate ®),Price To Book Value Per Share (Daily Time Series Ratio),Price To Cash Flow Per Share (Daily Time Series Ratio),TR.PRICECLOSE/TR.FreeOperatingCashFlowperShareAvgDilutedSharesOut,TR.ROATOTALASSETSPERCENT/100,TR.GROSSMARGIN/100,TR.NETINCOME/TR.Revenue,TR.LTDEBTTOTTLEQTYPCT/100,TR.LTDEBTTOTTLCAPITALPCT/100,Interest Coverage Ratio
19,PETR4.SA,2.0545576902556,1.61499818655558,0.862119892787513,3.01207527490806,0.843606125714956,1.19765652483654,26.4745126831709,0.193885087656,0.4859791,0.293686140948389,0.642738158933,0.361273190634,20.1848440899
21,PTT.BK,7.40200975191536,4.76540183982588,0.659256870764711,9.67385295743505,0.854780713816536,4.91830625961105,-11.8025097168173,0.037644321866,0.1367535,0.027077329645387,0.962029943558,0.371293573964,9.1164711341
22,ONGC.NS,6.2707636399196,4.23839869347349,0.453739002476143,4.1857514857963,0.681311313156261,2.43621826705559,9.24702343130718,0.087344433324,0.2696213,0.085606193122951,0.374791161301,0.239960792739,14.496697977
24,ECO.CN,3.72496740477085,3.10349473435497,1.42441346487131,5.02863272687133,1.10656593105966,2.78010480020875,100.750712345018,0.134524433684,0.4390423,0.209478038024943,1.020888209841,0.396787236226,10.9778639171
27,YPFD.BA,8.41030226405418,3.5038231476667,1.15853110621558,5.96484988390664,0.939814727151908,2.37258633534609,8.53354334582161,0.083191332125,0.2552003,0.114411593110693,0.595030874702,0.341674646892,2.9422594485
30,600256.SS,8.99639666963738,7.31514792445446,1.81833717482563,5.30840392075844,2.26116837218022,6.82681731982806,40.3930306863981,0.085136779209,0.3665887,0.201211433304562,0.471638271041,0.197686640179,5.9097431578
36,DANA.AD,6.88443243555894,5.42097524117365,3.04433505776961,7.39752387176415,0.674979671590751,6.89979220248945,-150.024340758992,0.068731117825,0.4706994,0.344045368620038,0.069130434783,0.06319554849,87.6666666667
40,IOC.NS,6.45028005783292,4.82226426533138,0.265685830159411,29.4993070124283,0.844775066200368,4.47712533790021,-11.4580779543883,0.067211573853,0.1026732,0.034072457181241,0.466604830278,0.233236148111,9.9025694482
41,RELI.NS,24.8893446367859,16.7116610293593,2.09845002684267,23.1990979317318,1.93858868514009,14.133342400049,217.744525656528,0.048102061877,0.2746295,0.084121590723275,0.257485390995,0.171403244181,5.6266795955
42,BPCL.NS,9.20564574806088,6.71421545695331,0.272121300703935,28.4871762200339,1.59198082048671,3.66115905217984,-38.597637766346,0.067036779241,0.0744035,0.027004901546253,0.855392152141,0.38130993332,6.2904835029
43,600938.SS,1.87394490020569,1.41166210898451,1.02232258373992,6.58075130244036,1.35727074530008,3.94280238885929,23.8289315466556,0.165163269763,0.5032636,0.335599081069559,0.183706139837,0.149712259767,37.442078531
44,096770.KS,8.72574183445647,5.98652620087647,0.468235728590771,11.8166590814216,0.76841292219958,41.3297948752203,-2.17688935323919,0.032461739857,0.0900267,0.020101001577768,0.751610127638,0.293001485259,6.06428604
46,601088.SS,4.74530303702896,3.85418947679451,1.42171037497749,8.1109796232152,1.42107534079779,5.10048122853765,20.2606686564106,0.132931443158,0.3461381,0.202088043815832,0.110030620484,0.083885491736,30.6413110699
47,PKN.WA,1.99204282073129,1.67678047124158,0.239061322823369,3.45084618019058,0.490438079774657,2.05486460411379,5.99887010844776,0.18686643777,0.1869024,0.12685765989609,0.150983222474,0.123747072043,37.7765190525
48,RAIZ4.SA,5.47703158090361,3.01208348101419,0.178733699401838,75.098814229249,1.39196780132669,0.402021996782761,3.84604982581759,0.049334285851,0.0611649,0.016463742742885,1.326494787401,0.522512682663,3.6481380932
49,267250.KS,7.97910983208367,5.82688103900852,0.56867527615741,3.63955636386309,0.548523815780912,2.15087880409799,-15.9117555593689,0.044103913972,0.0980543,0.023149235724838,1.724187965065,0.299759613065,5.2877306277
